Frame,Transformed_X,Transformed_Y
50,315,15983
51,322,15910
52,330,15813
53,337,15715
54,346,15639
55,354,15563
56,361,15462
57,370,15384
58,377,15280
59,384,15175
60,394,15094
61,402,15012
62,410,14903
63,418,14820
64,427,14736
65,435,14650
66,444,14564
67,452,14477
68,461,14361
69,469,14243
70,478,14152
71,487,14031
72,494,13938
73,503,13814
74,511,13719
75,520,13592
76,529,13526
77,536,13396
78,545,13297
79,551,13197
80,558,13095
81,565,12960
82,572,12889
83,577,12751
84,585,12679
85,590,12573
86,596,12465
87,602,12356
88,606,12282
89,612,12171
90,616,12096
91,622,11982
92,627,11906
93,633,11828
94,638,11712
95,642,11594
96,646,11476
97,651,11395
98,656,11274
99,661,11191
100,666,11108
101,669,10984
102,672,10900
103,677,10772
104,680,10729
105,685,10642
106,688,10512
107,692,10467
108,695,10378
109,698,10245
110,702,10155
111,707,9973
112,710,9880
113,714,9786
114,719,9598
115,723,9502
116,726,9357
117,730,9210
118,734,9062
119,737,8961
120,741,8759
121,745,8604
122,749,8499
123,753,8288
124,756,8073
125,760,7909
126,765,7742
127,769,7460
128,773,7287
129,777,7053
130,781,6814
131,788,6630
132,793,6383
133,797,6131
134,804,5936
135,809,5740
136,814,5541
137,819,5271
138,824,5064
139,829,4854
140,834,4711
141,839,4424
142,842,4278
143,847,4055
144,853,3903
145,856,3676
146,859,3522
147,864,3364
148,867,3206
149,870,2967
150,871,2887
151,874,2724
152,877,2559
153,877,2394
154,880,2225
155,881,2141
156,881,1971
157,882,1886
158,879,1715
159,880,1628
160,880,1540
161,878,1366
162,876,1189
163,876,1099
164,874,1011
165,871,922
166,869,832
167,866,649
168,864,558
169,861,561
170,856,472
171,853,380
172,848,385
173,845,197
174,840,202
175,834,110
176,829,115
177,823,121
178,815,31
179,809,-60
180,801,-52
181,792,-44
182,784,-134
183,775,-126
184,767,-217
185,758,-209
186,750,-300
187,738,-290
188,730,-282
189,718,-370
190,707,-360
191,696,-449
192,684,-538
193,673,-528
194,661,-517
195,652,-610
196,641,-599
197,629,-689
198,617,-780
199,606,-769
200,594,-758
